sample_name,subtype,# All Cells,# Cell Negative,# Cell Low,# Cell Medium,# Cell High,Area (mm2),Density Cell Negative (#/mm²),Density Cell Low (#/mm²),Density Cell Medium (#/mm²),Density Cell High (#/mm²),% Cell Negative,% Cell Low,% Cell Medium,% Cell High,Total Positive
SCC070,Redox,984062,698767,78200,114226,92869,189.4265439,3688.854717,412.8249315,603.0094709,490.2639202,0.7101,0.0795,0.1161,0.0944,0.2899
SCC080,Redox,892437,805844,32763,37156,16674,269.9136389,2985.562357,121.3832696,137.6588458,61.77531475,0.903,0.0367,0.0416,0.0187,0.097
SCC012,Inflamed,813020,706711,36057,36169,34083,255.6941928,2763.891476,141.0161083,141.4541316,133.2959487,0.8692,0.0443,0.0445,0.0419,0.1308
SCC093,Redox,189613,174208,4871,6423,4111,158.6171199,1098.292543,30.70916937,40.49373739,25.91775719,0.9188,0.0257,0.0339,0.0217,0.0812
SCC056,Redox,960364,921790,16853,15816,5905,243.6490995,3783.268651,69.16914544,64.91302464,24.2356734,0.9598,0.0175,0.0165,0.0061,0.0402
SCC037,Inflamed,631686,541556,26992,28118,35020,126.822717,4270.181342,212.8325322,221.7110677,276.1334942,0.8573,0.0427,0.0445,0.0554,0.1427
SCC006,Inflamed,567024,549771,7318,5935,4000,129.1015512,4258.438376,56.68405943,45.97156228,30.98336126,0.9696,0.0129,0.0105,0.0071,0.0304
SCC052,Redox,751048,715447,14734,14842,6025,161.6034028,4427.177817,91.17382274,91.8421255,37.28263079,0.9526,0.0196,0.0198,0.008,0.0474
SCC045,Redox,1298607,1190463,39049,41840,27255,303.5728404,3921.506939,128.6314018,137.8252414,89.78075894,0.9167,0.0301,0.0322,0.021,0.0833
SCC106,Mixed,1189464,1079590,49455,41469,18950,332.9899322,3242.110033,148.5180038,124.5352967,56.90862746,0.9076,0.0416,0.0349,0.0159,0.0924
SCC027,Inflamed,459600,278912,55486,84745,40457,127.8618332,2181.354615,433.9527957,662.7857418,316.4118562,0.6069,0.1207,0.1844,0.088,0.3931
SCC028,Inflamed,72732,42928,12270,11874,5660,35.08839988,1223.42427,349.6882173,338.4024362,161.3068712,0.5902,0.1687,0.1633,0.0778,0.4098
SCC013,Inflamed,1247710,1086253,59641,63085,38731,280.2952295,3875.388825,212.779219,225.0662636,138.179305,0.8706,0.0478,0.0506,0.031,0.1294
SCC095,Mixed,695466,679765,9370,4096,2235,295.4428539,2300.834124,31.71510116,13.86393323,7.564914739,0.9774,0.0135,0.0059,0.0032,0.0226
SCC016,Inflamed,863664,854458,4892,3406,908,221.9857126,3849.157633,22.03745432,15.34332981,4.090353336,0.9893,0.0057,0.0039,0.0011,0.0107
